key,value
maga,0.0569448598130841
black,-0.16557521367521366
tcot,-0.017630962343096232
blm,-0.20692591463414636
blacklivesmatter,-0.11798858695652173
blacktwitter,-0.06194232456140351
policebrutality,-0.24860786885245903
policestate,-0.3055085714285714
racism,-0.6278761111111112
acab,-0.26506983695652175
cops,-0.3016429280397023
police,-0.2576894736842105
staywoke,-0.08804967741935484
policeabuse,-0.24884529914529913
blackpeopletwitter,-0.06148653846153847
policeviolence,-0.24953153153153154
trump,-0.08954854368932039
thingsyoucantignore,-0.018984
alternativeacronyminterpretations,-0.16535384615384616
ccot,0.02315877192982456
pjnet,-0.014670351758793972
donttellanyonebut,-0.005459482758620682
abiss,-0.2093479357798165
abi,-0.2093479357798165
acapa,-0.207795
adns,-0.21029017632241812
adsnn,-0.21029017632241812
